occupation,location,income,welfare,working_experience,education,industry,section,scale,category
CFO,广东,36,FALSE,5年以上,本科,服务业,未知,100-499,商务与管理类
CFO,北京,45,FALSE,5年以上,本科,金融,未知,100-499,商务与管理类
CFO,山东,24.6,FALSE,经验不限,研究生,互联网/IT/电子/通信,未融资,100以下,商务与管理类
CFO,上海,8.25,TRUE,1-3年,本科,互联网/IT/电子/通信,A轮,100以下,商务与管理类
CFO,浙江,102,FALSE,5年以上,大专,金融,未知,100以下,商务与管理类
CFO,上海,162.5,TRUE,5年以上,研究生,互联网/IT/电子/通信,C轮,100-499,商务与管理类
CFO,江苏,45,TRUE,5年以上,本科,互联网/IT/电子/通信,A轮,100-499,商务与管理类
CFO,上海,90,TRUE,5年以上,本科,互联网/IT/电子/通信,未融资,500以上,商务与管理类
CFO,北京,51,TRUE,5年以上,本科,专业服务,D轮及以上,100-499,商务与管理类
CFO,湖南,11.4,TRUE,5年以上,研究生,制药/医疗,未知,100以下,商务与管理类
CFO,上海,112,TRUE,5年以上,本科,互联网/IT/电子/通信,B轮,500以上,商务与管理类
CFO,北京,15,FALSE,经验不限,学历不限,互联网/IT/电子/通信,A轮,500以上,商务与管理类
CFO,海南,27,FALSE,5年以上,本科,交通/物流/贸易/零售,天使轮,100以下,商务与管理类
CFO,未知,5.4,FALSE,3-5年,学历不限,消费品,未知,100以下,商务与管理类
CFO,河南,10.8,FALSE,3-5年,本科,机械/制造,未知,100-499,商务与管理类
CFO,上海,29.25,TRUE,经验不限,学历不限,互联网/IT/电子/通信,未融资,100以下,商务与管理类
CFO,上海,27,TRUE,3-5年,本科,广告/传媒/文化/体育,未融资,100以下,商务与管理类
CFO,重庆,36,FALSE,5年以上,本科,互联网/IT/电子/通信,A轮,100-499,商务与管理类
CFO,上海,31.2,TRUE,5年以上,研究生,互联网/IT/电子/通信,未知,100-499,商务与管理类
CFO,山东,12.6,FALSE,3-5年,本科,互联网/IT/电子/通信,未知,100以下,商务与管理类
CFO,北京,39,TRUE,5年以上,研究生,能源/化工/环保,未融资,100以下,商务与管理类
CFO,北京,240,TRUE,5年以上,本科,互联网/IT/电子/通信,不需要融资,100-499,商务与管理类
CFO,云南,41.4,FALSE,经验不限,研究生,消费品,未融资,100-499,商务与管理类
CFO,重庆,39,TRUE,1-3年,本科,互联网/IT/电子/通信,A轮,100-499,商务与管理类
CFO,河北,3.6,TRUE,1年以内,大专,广告/传媒/文化/体育,不需要融资,100以下,商务与管理类
CFO,辽宁,51,FALSE,5年以上,本科,互联网/IT/电子/通信,未知,100-499,商务与管理类
CFO,北京,66,FALSE,5年以上,本科,金融,未融资,100以下,商务与管理类
CFO,安徽,19.8,FALSE,5年以上,大专,政府/非盈利机构/其他,未知,500以上,商务与管理类
CFO,浙江,12.6,FALSE,5年以上,本科,服务业,未知,100以下,商务与管理类
CFO,云南,24,FALSE,5年以上,本科,互联网/IT/电子/通信,未融资,100以下,商务与管理类
CFO,北京,108,FALSE,5年以上,研究生,互联网/IT/电子/通信,未融资,500以上,商务与管理类
CFO,河北,21,TRUE,5年以上,本科,机械/制造,未融资,100以下,商务与管理类
CFO,辽宁,36,FALSE,3-5年,研究生,金融,未知,100以下,商务与管理类
CFO,辽宁,234,FALSE,1年以内,本科,互联网/IT/电子/通信,未融资,100以下,商务与管理类
CFO,北京,150,TRUE,5年以上,本科,互联网/IT/电子/通信,未融资,100-499,商务与管理类
CFO,辽宁,12.6,TRUE,3-5年,本科,互联网/IT/电子/通信,未融资,100以下,商务与管理类
CFO,天津,16.2,FALSE,5年以上,本科,房地产/建筑,未知,100以下,商务与管理类
CFO,江苏,15,TRUE,5年以上,本科,能源/化工/环保,未融资,100-499,商务与管理类
CFO,北京,12,TRUE,1-3年,大专,制药/医疗,B轮,500以上,商务与管理类
CFO,上海,102,TRUE,5年以上,研究生,交通/物流/贸易/零售,D轮及以上,500以上,商务与管理类
CFO,广东,29.4,TRUE,3-5年,本科,互联网/IT/电子/通信,不需要融资,100以下,商务与管理类
CFO,江苏,54,TRUE,5年以上,研究生,互联网/IT/电子/通信,未融资,100-499,商务与管理类
CFO,上海,6.6,FALSE,3-5年,大专,消费品,A轮,100-499,商务与管理类
CFO,山西,24,FALSE,5年以上,本科,互联网/IT/电子/通信,未知,100-499,商务与管理类
CFO,北京,60,TRUE,5年以上,本科,互联网/IT/电子/通信,A轮,100-499,商务与管理类
CFO,北京,152,TRUE,5年以上,本科,互联网/IT/电子/通信,天使轮,100以下,商务与管理类
CFO,北京,90,TRUE,5年以上,研究生,广告/传媒/文化/体育,天使轮,100以下,商务与管理类
CFO,重庆,15,TRUE,经验不限,本科,汽车,天使轮,100以下,商务与管理类
CFO,宁夏,10.2,TRUE,5年以上,本科,房地产/建筑,未融资,100以下,商务与管理类
CFO,北京,39,FALSE,3-5年,本科,广告/传媒/文化/体育,未知,100以下,商务与管理类
CFO,福建,15.75,FALSE,3-5年,本科,互联网/IT/电子/通信,未知,100以下,商务与管理类
CFO,上海,65,TRUE,5年以上,本科,互联网/IT/电子/通信,B轮,500以上,商务与管理类
CFO,江苏,36,FALSE,5年以上,本科,互联网/IT/电子/通信,未知,100以下,商务与管理类
CFO,广东,54,FALSE,5年以上,本科,互联网/IT/电子/通信,未知,100以下,商务与管理类
CFO,上海,82.5,FALSE,5年以上,本科,互联网/IT/电子/通信,未知,100以下,商务与管理类
CFO,北京,54,FALSE,5年以上,本科,互联网/IT/电子/通信,C轮,100-499,商务与管理类
CFO,海南,27,FALSE,5年以上,本科,互联网/IT/电子/通信,未知,100以下,商务与管理类
CFO,江苏,12.6,FALSE,1-3年,研究生,机械/制造,未知,100以下,商务与管理类
CFO,北京,48,TRUE,5年以上,本科,能源/化工/环保,已上市,100-499,商务与管理类
CFO,北京,48,TRUE,5年以上,本科,消费品,不需要融资,100-499,商务与管理类
CFO,浙江,27,TRUE,5年以上,本科,交通/物流/贸易/零售,未融资,100-499,商务与管理类
CFO,山东,39,TRUE,5年以上,本科,金融,已上市,100-499,商务与管理类
CFO,江西,12.6,TRUE,经验不限,学历不限,教育培训,不需要融资,100-499,商务与管理类
CFO,重庆,27,FALSE,5年以上,本科,机械/制造,未知,100-499,商务与管理类
CFO,北京,15,FALSE,经验不限,学历不限,互联网/IT/电子/通信,未融资,100以下,商务与管理类
CFO,上海,45,TRUE,5年以上,研究生,互联网/IT/电子/通信,未融资,100以下,商务与管理类
CFO,四川,42,TRUE,1-3年,本科,互联网/IT/电子/通信,天使轮,100以下,商务与管理类
CFO,山东,78,FALSE,5年以上,研究生,专业服务,未融资,500以上,商务与管理类
CFO,上海,180,FALSE,5年以上,本科,互联网/IT/电子/通信,未知,500以上,商务与管理类
CFO,江苏,12.6,FALSE,经验不限,本科,交通/物流/贸易/零售,未知,100以下,商务与管理类
CFO,湖南,24.6,TRUE,5年以上,本科,互联网/IT/电子/通信,不需要融资,100-499,商务与管理类
CFO,山东,11.4,FALSE,经验不限,学历不限,机械/制造,不需要融资,100-499,商务与管理类
CFO,广东,42,TRUE,5年以上,本科,互联网/IT/电子/通信,未融资,100以下,商务与管理类
CFO,浙江,12.6,FALSE,经验不限,学历不限,互联网/IT/电子/通信,未融资,100以下,商务与管理类
CFO,内蒙古,54,TRUE,3-5年,研究生,消费品,未融资,100以下,商务与管理类
CFO,山东,12,FALSE,3-5年,本科,互联网/IT/电子/通信,未融资,100以下,商务与管理类
CFO,吉林,24,TRUE,5年以上,大专,消费品,未融资,100-499,商务与管理类
CFO,江苏,36,TRUE,5年以上,本科,制药/医疗,天使轮,100以下,商务与管理类
CFO,深圳,180,TRUE,5年以上,本科,互联网/IT/电子/通信,B轮,100-499,商务与管理类
CFO,四川,38.4,TRUE,5年以上,研究生,互联网/IT/电子/通信,未融资,100-499,商务与管理类
CFO,安徽,48,TRUE,5年以上,本科,制药/医疗,已上市,500以上,商务与管理类
CFO,上海,78,FALSE,5年以上,本科,消费品,未知,500以上,商务与管理类
CFO,河南,27,TRUE,5年以上,本科,互联网/IT/电子/通信,不需要融资,100-499,商务与管理类
CFO,辽宁,33.15,TRUE,5年以上,本科,互联网/IT/电子/通信,未融资,100以下,商务与管理类
CFO,北京,27,TRUE,3-5年,本科,广告/传媒/文化/体育,不需要融资,100-499,商务与管理类
CFO,湖南,75,TRUE,5年以上,本科,互联网/IT/电子/通信,B轮,500以上,商务与管理类
CFO,北京,102,TRUE,5年以上,本科,政府/非盈利机构/其他,已上市,500以上,商务与管理类
CFO,福建,126,FALSE,1-3年,本科,金融,未融资,100-499,商务与管理类
CFO,河南,36,FALSE,1-3年,本科,互联网/IT/电子/通信,未融资,500以上,商务与管理类
CFO,广西,48,TRUE,5年以上,研究生,汽车,未融资,100-499,商务与管理类
CFO,河北,57,TRUE,5年以上,本科,专业服务,未融资,100-499,商务与管理类
CFO,北京,33,FALSE,5年以上,本科,互联网/IT/电子/通信,未融资,100-499,商务与管理类
CFO,深圳,168,TRUE,5年以上,本科,互联网/IT/电子/通信,不需要融资,500以上,商务与管理类
CFO,江苏,42,TRUE,3-5年,本科,教育培训,C轮,100-499,商务与管理类
CFO,江苏,252,TRUE,5年以上,研究生,互联网/IT/电子/通信,未融资,100以下,商务与管理类
CFO,上海,112.5,TRUE,5年以上,本科,互联网/IT/电子/通信,B轮,500以上,商务与管理类
