"","职位","位置","年薪","福利","已有工作经验","学历","公司行业","融资阶段","公司规模","职业类别","log_salary","log_年薪"
"1","CFO","南部地区",36,FALSE,"5年以上","本科","商业服务","未知","100-499","商务与工程类",3.58351893845611,3.58351893845611
"2","CFO","东部地区",45,FALSE,"5年以上","本科","金融互联网","未知","100-499","商务与工程类",3.80666248977032,3.80666248977032
"3","CFO","东部地区",24.6,FALSE,"经验不限","研究生","金融互联网","准备融资","100以下","商务与工程类",3.20274644293832,3.20274644293832
"4","CFO","东部地区",8.25,TRUE,"1-3年","本科","金融互联网","正在融资","100以下","商务与工程类",2.11021320034659,2.11021320034659
"5","CFO","东部地区",102,FALSE,"5年以上","大专","金融互联网","未知","100以下","商务与工程类",4.62497281328427,4.62497281328427
"6","CFO","东部地区",162.5,TRUE,"5年以上","研究生","金融互联网","正在融资","100-499","商务与工程类",5.09067800176979,5.09067800176979
"7","CFO","东部地区",45,TRUE,"5年以上","本科","金融互联网","正在融资","100-499","商务与工程类",3.80666248977032,3.80666248977032
"8","CFO","东部地区",90,TRUE,"5年以上","本科","金融互联网","准备融资","500以上","商务与工程类",4.49980967033027,4.49980967033027
"9","CFO","东部地区",51,TRUE,"5年以上","本科","商业服务","正在融资","100-499","商务与工程类",3.93182563272433,3.93182563272433
"10","CFO","中部地区",11.4,TRUE,"5年以上","研究生","公共服务","未知","100以下","商务与工程类",2.43361335540045,2.43361335540045
"11","CFO","东部地区",112,TRUE,"5年以上","本科","金融互联网","正在融资","500以上","商务与工程类",4.71849887129509,4.71849887129509
"12","CFO","东部地区",15,FALSE,"经验不限","学历不限","金融互联网","正在融资","500以上","商务与工程类",2.70805020110221,2.70805020110221
"13","CFO","南部地区",27,FALSE,"5年以上","本科","公共服务","准备融资","100以下","商务与工程类",3.29583686600433,3.29583686600433
"14","CFO","南部地区",5.4,FALSE,"3-5年","学历不限","商业服务","未知","100以下","商务与工程类",1.68639895357023,1.68639895357023
"15","CFO","中部地区",10.8,FALSE,"3-5年","本科","机械制造","未知","100-499","商务与工程类",2.37954613413017,2.37954613413017
"16","CFO","东部地区",29.25,TRUE,"经验不限","学历不限","金融互联网","准备融资","100以下","商务与工程类",3.37587957367787,3.37587957367787
"17","CFO","东部地区",27,TRUE,"3-5年","本科","媒体教培","准备融资","100以下","商务与工程类",3.29583686600433,3.29583686600433
"18","CFO","西部地区",36,FALSE,"5年以上","本科","金融互联网","正在融资","100-499","商务与工程类",3.58351893845611,3.58351893845611
"19","CFO","东部地区",31.2,TRUE,"5年以上","研究生","金融互联网","未知","100-499","商务与工程类",3.44041809481544,3.44041809481544
"20","CFO","东部地区",12.6,FALSE,"3-5年","本科","金融互联网","未知","100以下","商务与工程类",2.53369681395743,2.53369681395743
"21","CFO","东部地区",39,TRUE,"5年以上","研究生","公共服务","准备融资","100以下","商务与工程类",3.66356164612965,3.66356164612965
"22","CFO","东部地区",240,TRUE,"5年以上","本科","金融互联网","不需要融资","100-499","商务与工程类",5.48063892334199,5.48063892334199
"23","CFO","西部地区",41.4,FALSE,"经验不限","研究生","商业服务","准备融资","100-499","商务与工程类",3.72328088083127,3.72328088083127
"24","CFO","西部地区",39,TRUE,"1-3年","本科","金融互联网","正在融资","100-499","商务与工程类",3.66356164612965,3.66356164612965
"25","CFO","中部地区",3.6,TRUE,"1年以内","大专","媒体教培","不需要融资","100以下","商务与工程类",1.28093384546206,1.28093384546206
"26","CFO","东北地区",51,FALSE,"5年以上","本科","金融互联网","未知","100-499","商务与工程类",3.93182563272433,3.93182563272433
"27","CFO","东部地区",66,FALSE,"5年以上","本科","金融互联网","准备融资","100以下","商务与工程类",4.18965474202643,4.18965474202643
"28","CFO","中部地区",19.8,FALSE,"5年以上","大专","公共服务","未知","500以上","商务与工程类",2.98568193770049,2.98568193770049
"29","CFO","东部地区",12.6,FALSE,"5年以上","本科","商业服务","未知","100以下","商务与工程类",2.53369681395743,2.53369681395743
"30","CFO","西部地区",24,FALSE,"5年以上","本科","金融互联网","准备融资","100以下","商务与工程类",3.17805383034795,3.17805383034795
"31","CFO","东部地区",108,FALSE,"5年以上","研究生","金融互联网","准备融资","500以上","商务与工程类",4.68213122712422,4.68213122712422
"32","CFO","中部地区",21,TRUE,"5年以上","本科","机械制造","准备融资","100以下","商务与工程类",3.04452243772342,3.04452243772342
